Classe,level_1,antecedents,consequents,support,confidence,lift
ethnicity,150,"frozenset({'obama', 'fuck'})","frozenset({'ass', 'dumb'})",0.12185929648241206,0.9076023391812865,3.7529946077314498
ethnicity,149,"frozenset({'obama', 'dumb'})","frozenset({'ass', 'fuck'})",0.12185929648241206,0.9076023391812865,3.7529946077314498
ethnicity,148,"frozenset({'ass', 'fuck'})","frozenset({'obama', 'dumb'})",0.12185929648241206,0.5038961038961038,3.7529946077314493
ethnicity,147,"frozenset({'ass', 'dumb'})","frozenset({'obama', 'fuck'})",0.12185929648241206,0.5038961038961038,3.7529946077314493
ethnicity,218,"frozenset({'ass', 'fuck', 'dumb'})","frozenset({'nigger', 'obama'})",0.11385050251256282,0.4754098360655738,3.7514372194121117
ethnicity,235,"frozenset({'nigger', 'obama'})","frozenset({'ass', 'fuck', 'dumb'})",0.11385050251256282,0.8983890954151178,3.7514372194121117
ethnicity,224,"frozenset({'nigger', 'obama', 'dumb'})","frozenset({'ass', 'fuck'})",0.11385050251256282,0.9028642590286425,3.7334023386327244
ethnicity,229,"frozenset({'ass', 'fuck'})","frozenset({'nigger', 'obama', 'dumb'})",0.11385050251256282,0.4707792207792208,3.7334023386327244
ethnicity,226,"frozenset({'nigger', 'obama', 'fuck'})","frozenset({'ass', 'dumb'})",0.11385050251256282,0.9028642590286425,3.7334023386327244
ethnicity,227,"frozenset({'ass', 'dumb'})","frozenset({'nigger', 'obama', 'fuck'})",0.11385050251256282,0.4707792207792208,3.7334023386327244
ethnicity,178,"frozenset({'ass', 'fuck'})","frozenset({'nigger', 'obama'})",0.11385050251256282,0.4707792207792208,3.71489724649576
ethnicity,175,"frozenset({'nigger', 'obama'})","frozenset({'ass', 'fuck'})",0.11385050251256282,0.8983890954151178,3.71489724649576
ethnicity,164,"frozenset({'ass', 'dumb'})","frozenset({'nigger', 'obama'})",0.11385050251256282,0.4707792207792208,3.71489724649576
ethnicity,161,"frozenset({'nigger', 'obama'})","frozenset({'ass', 'dumb'})",0.11385050251256282,0.8983890954151178,3.71489724649576
ethnicity,231,"frozenset({'obama', 'dumb'})","frozenset({'nigger', 'ass', 'fuck'})",0.11385050251256282,0.847953216374269,3.7035432660297287
ethnicity,222,"frozenset({'nigger', 'ass', 'fuck'})","frozenset({'obama', 'dumb'})",0.11385050251256282,0.49725651577503427,3.7035432660297287
ethnicity,219,"frozenset({'nigger', 'ass', 'dumb'})","frozenset({'obama', 'fuck'})",0.11385050251256282,0.4965753424657534,3.698469919089962
ethnicity,234,"frozenset({'obama', 'fuck'})","frozenset({'nigger', 'ass', 'dumb'})",0.11385050251256282,0.847953216374269,3.698469919089962
ethnicity,144,"frozenset({'ass', 'fuck', 'dumb'})",frozenset({'obama'}),0.12185929648241206,0.5088524590163934,3.6948374675215434
ethnicity,153,frozenset({'obama'}),"frozenset({'ass', 'fuck', 'dumb'})",0.12185929648241206,0.8848346636259977,3.6948374675215434
ethnicity,57,"frozenset({'ass', 'fuck'})",frozenset({'obama'}),0.12185929648241206,0.5038961038961038,3.6588487908898397
ethnicity,45,"frozenset({'ass', 'dumb'})",frozenset({'obama'}),0.12185929648241206,0.5038961038961038,3.6588487908898397
ethnicity,48,frozenset({'obama'}),"frozenset({'ass', 'dumb'})",0.12185929648241206,0.8848346636259977,3.6588487908898397
ethnicity,60,frozenset({'obama'}),"frozenset({'ass', 'fuck'})",0.12185929648241206,0.8848346636259977,3.6588487908898397
ethnicity,214,"frozenset({'nigger', 'ass', 'fuck', 'dumb'})",frozenset({'obama'}),0.11385050251256282,0.5006906077348067,3.635573306790478
ethnicity,239,frozenset({'obama'}),"frozenset({'nigger', 'ass', 'fuck', 'dumb'})",0.11385050251256282,0.8266818700114026,3.6355733067904774
ethnicity,174,"frozenset({'nigger', 'ass'})","frozenset({'obama', 'fuck'})",0.11385050251256282,0.48723118279569894,3.6288750550210653
ethnicity,160,"frozenset({'nigger', 'ass'})","frozenset({'obama', 'dumb'})",0.11385050251256282,0.48723118279569894,3.6288750550210653
ethnicity,230,"frozenset({'nigger', 'ass'})","frozenset({'obama', 'fuck', 'dumb'})",0.11385050251256282,0.48723118279569894,3.6288750550210653
ethnicity,179,"frozenset({'obama', 'fuck'})","frozenset({'nigger', 'ass'})",0.11385050251256282,0.847953216374269,3.628875055021065
ethnicity,165,"frozenset({'obama', 'dumb'})","frozenset({'nigger', 'ass'})",0.11385050251256282,0.847953216374269,3.628875055021065
ethnicity,223,"frozenset({'obama', 'fuck', 'dumb'})","frozenset({'nigger', 'ass'})",0.11385050251256282,0.847953216374269,3.628875055021065
ethnicity,182,frozenset({'obama'}),"frozenset({'nigger', 'ass', 'fuck'})",0.11385050251256282,0.8266818700114026,3.6106379617507622
ethnicity,171,"frozenset({'nigger', 'ass', 'fuck'})",frozenset({'obama'}),0.11385050251256282,0.49725651577503427,3.6106379617507622
ethnicity,168,frozenset({'obama'}),"frozenset({'nigger', 'ass', 'dumb'})",0.11385050251256282,0.8266818700114026,3.605691882351104
ethnicity,157,"frozenset({'nigger', 'ass', 'dumb'})",frozenset({'obama'}),0.11385050251256282,0.4965753424657534,3.6056918823511035
ethnicity,145,"frozenset({'obama', 'fuck', 'dumb'})",frozenset({'ass'}),0.12185929648241206,0.9076023391812865,3.594285880538826
ethnicity,59,frozenset({'ass'}),"frozenset({'obama', 'fuck'})",0.12185929648241206,0.4825870646766169,3.594285880538826
ethnicity,46,"frozenset({'obama', 'dumb'})",frozenset({'ass'}),0.12185929648241206,0.9076023391812865,3.594285880538826
ethnicity,58,"frozenset({'obama', 'fuck'})",frozenset({'ass'}),0.12185929648241206,0.9076023391812865,3.594285880538826
ethnicity,152,frozenset({'ass'}),"frozenset({'obama', 'fuck', 'dumb'})",0.12185929648241206,0.4825870646766169,3.594285880538826
