class,itemset,support
other_cyberbullying,bulli,0.11377436880792585
other_cyberbullying,dont,0.05656759348034516
other_cyberbullying,fuck,0.0685522531160115
other_cyberbullying,get,0.06056248002556727
other_cyberbullying,im,0.08852668584212209
other_cyberbullying,like,0.05912432086928731
other_cyberbullying,peopl,0.05289229785874081
other_cyberbullying,rt,0.11105784595717481
religion,amp,0.06830259456080025
religion,call,0.054079399812441385
religion,countri,0.06580181306658331
religion,even,0.05767427321037824
religion,get,0.05939356048765239
religion,go,0.05376680212566427
religion,india,0.05032822757111598
religion,kill,0.0761175367302282
religion,know,0.08596436386370741
religion,make,0.05079712410128165
religion,one,0.07908721475461082
religion,quran,0.07142857142857142
religion,religion,0.06423882463269771
religion,think,0.06627070959674898
religion,us,0.053923100969052826
religion,want,0.05736167552360113
religion,world,0.06220693966864645
religion,your,0.05110972178805877
religion,"terrorist, isi",0.05048452641450453
religion,"muslim, islam",0.0692403876211316
religion,"islam, terror",0.10972178805876837
religion,"terrorist, islam",0.05564238824632698
religion,"say, muslim",0.052985307908721475
religion,"terrorist, muslim",0.0525164113785558
religion,"support, christian, radic",0.08705845576742732
religion,"christian, woman, right",0.09956236323851203
religion,"dont, muslim, idiot",0.06502031884964052
religion,"terrorist, human, jihad",0.05110972178805877
religion,"muslim, idiot, like",0.0665833072835261
religion,"muslim, peopl, idiot",0.052047514848390125
gender,fuck,0.06538099717779869
gender,get,0.06710567576042646
gender,girl,0.051113201630605204
gender,men,0.06506741925368455
gender,mkr,0.08043273753527752
gender,one,0.05236751332706178
gender,say,0.07008466603951082
gender,think,0.06820319849482596
gender,women,0.09783631232361242
gender,"dont, rape",0.05001567889620571
gender,"rt, im",0.05017246785826278
gender,"sexist, im",0.06302916274694262
gender,"sexist, rt",0.06506741925368455
gender,"femal, bitch, call",0.0929758544998432
gender,"joke, funni, gay",0.05064283474443399
gender,"rape, funni, gay",0.05064283474443399
gender,"rape, funni, joke",0.05158356851677642
gender,"like, joke, rape, gay",0.05487613671997491
gender,"make, joke, rape, gay",0.11774851050486046
gender,"peopl, joke, rape, gay",0.0788648479147068
age,"back, bulli",0.05223647169221145
age,"back, school",0.051610885204879574
age,"make, bulli",0.051923678448545514
age,"bulli, never",0.051610885204879574
age,"time, bulli",0.05301845480137629
age,"use, bulli",0.051923678448545514
age,"make, school",0.05004691898654989
age,"school, time",0.0505161088520488
age,"dont, school, bulli",0.06083828589302471
age,"school, friend, bulli",0.06318423522051923
age,"school, go, bulli",0.06193306224585549
age,"school, kid, bulli",0.07991867375664685
age,"know, school, bulli",0.05505161088520488
age,"school, look, bulli",0.060525492649358775
age,"middl, school, bulli",0.08398498592430403
age,"say, school, bulli",0.0505161088520488
age,"school, bulli, think",0.050359712230215826
age,"school, would, bulli",0.0713168595558336
age,"year, school, bulli",0.060525492649358775
age,"high, school, peopl, bulli",0.05004691898654989
age,"high, bulli, get, school, girl",0.060369096027525805
age,"high, got, bulli, school, girl",0.06099468251485768
age,"high, bulli, im, school, girl",0.05614638723803566
age,"high, bulli, school, girl, like",0.1019705974350954
age,"high, bulli, girl, school, one",0.05817954332186425
ethnicity,dont,0.09436332234259695
ethnicity,go,0.06280420788192809
ethnicity,know,0.05087140838436175
ethnicity,nigga,0.05024336630554247
ethnicity,racist,0.05950698696812686
ethnicity,"call, black",0.0629612184016329
ethnicity,"fuck, black",0.054168629298162976
ethnicity,"peopl, black",0.06578740775631968
ethnicity,"white, black",0.07520803893860889
ethnicity,"nigger, call",0.06563039723661486
ethnicity,"color, racism",0.0566807976134401
ethnicity,"fuck, im",0.05118542942377139
ethnicity,"nigger, im",0.05730883969225938
ethnicity,"nigger, peopl",0.05306955566022924
ethnicity,"say, nigger",0.054168629298162976
ethnicity,"nigger, white",0.06044905008635579
ethnicity,"past, anyth, black",0.0675145234730727
ethnicity,"nigger, disgust, black",0.054011618778458156
ethnicity,"negro, white, call",0.07034071282775946
ethnicity,"ur, first, one",0.07630711257654263
ethnicity,"get, dumb, nigger, fuck",0.0527555346208196
ethnicity,"dumb, nigger, fuck, like",0.0535405872193437
ethnicity,"dumb, nigger, fuck, shit",0.06107709216517507
ethnicity,"fuck, ass, dumb, bitch, nigger",0.054168629298162976
ethnicity,"rt, obama, fuck, ass, dumb, nigger",0.0645313235986811
