text,binary_label,multiclass_label
@chromiephobical I don’t want you nigga,cyberbullying,ethnicity/race
I look at you niggas like bitches lettin ah rat ahh nigga kick it in y’all hood eatin chicken n shit y’all niggaz some bitches on my dead sister.,cyberbullying,ethnicity/race
I fuck on that bitch &amp; we lay up I passed her off like a layup,cyberbullying,gender/sexual
@Linaya_Bradford Me bitch always,cyberbullying,gender/sexual
@RonFilipkowski Ok so what purpose does this serve?  Is this to “own liberals”. It’s been embarrassing for a while but now it’s just a dating our time and money to make lay fucking games. If you all support or vote for this your really dumb.,cyberbullying,ethnicity/race
"They really dont get how these religious radical fundamentalists fanatics think they believe they are no different to other decent muslims ,yes they do exist dont forget even the christians have their lunatics too would they support and sympathise with them",cyberbullying,religion
"One supposedly spy balloon &amp; they can't tolerate it even when the US def dept. has stated it's of no immediate threat. But when they destroy Muslim lands with all kinds of missiles, Muslims must bear it; if they  fight back,they're terror1sts &amp; extremists?https://t.co/lVlgVKxR7x",cyberbullying,religion
U BITCH https://t.co/zbt10OU0fI,cyberbullying,gender/sexual
@mercychanel_ lmfaooo literally i be over a nigga within the next hour😩😭😭,cyberbullying,ethnicity/race
@_ashowz Find a new bitch this one broken,cyberbullying,gender/sexual
"@mtgreenee Yeah, why should gay or trans kids get any healthcare at all? Right, bitch?",cyberbullying,gender/sexual
@blightedkudzu Dude is a rape apologist i'd advise against working with him for safety as it seems like he's trying to preemptively or retroactively justify raping trans men🤮. If you're a survivor out there who was raped or sexually assaulted by Jersey Noah I believe you&amp; it wasn't your fault,cyberbullying,gender/sexual
U can tell who got money and who don’t 😂😂😂 cause 1 if a nigga tricking on me I’m tricking harder and 2 why u gossiping to this bitch n got her in my pockets 😂😂 n 3 ole sour pussy ass bitch just mad she fuck on niggas who can’t even get her ass a cheeseburger 😂,cyberbullying,ethnicity/race
a bitch the reason you gon end up behind some yellow tape,cyberbullying,gender/sexual
"@CassyWearsHeels People fought a war and have their lives to free them from slavery. To demand that every white person give reparations to black people no matter what is racism, because not every white person in the 1860s supported slavery. People died in a civil war! When will it be enough?!",cyberbullying,ethnicity/race
@PrinceThams Nigga gooi the code already,cyberbullying,ethnicity/race
you better be in austin when i come home nigger https://t.co/yATgGmOYks,cyberbullying,ethnicity/race
